TOURNEY	DATE	GAME	FORMAT	FULL NAME	ALIAS	SKILL	PRIZE	POINTS	POSITION	ROSTER
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Noah Contreras	Noah Contrer	8BL AVG: 0	225.00	6	WINNER	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	John Eagle	John Eagle	8BL AVG: 0	170.00	5	2nd	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Max Sun	Max Sun	8BL AVG: 0	115.00	4	3rd	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Elizabeth Kirkman	Liz Galvan	8BL AVG: 0	60.00	3	4th	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Stefan Mastovich	Stefan M	8BL AVG: 0	30.00	2	5-6	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Callum ODonnell	Callum Odonn	8BL AVG: 0	30.00	2	5-6	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Dean Perry	Dean Perry	8BL AVG: 0	0.00	1	7-8	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Jeanguy Fournier	Jeanguy Four	8BL AVG: 0	0.00	1	7-8	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Darryl Henry	Lupe Henry	8BL AVG: 0	0.00	1	9-12	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Robert Gonzalez	Bam Bam	8BL AVG: 0	0.00	1	9-12	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Marcus Whittington	Marcus Whitt	8BL AVG: 0	0.00	1	9-12	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Tom Passow	Tom Passow	8BL AVG: 0	0.00	1	9-12	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Mark Lee	Mark Lee	8BL AVG: 0	0.00	1	13-16	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Ricky Martin	Ricky Martin	8BL AVG: 0	0.00	1	13-16	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Michelle Cortez	Michelle Cor	8BL AVG: 0	0.00	1	13-16	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Sarath Chelika	Sarath C	8BL AVG: 0	0.00	1	13-16	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Ric Ware	Ric Ware	8BL AVG: 0	0.00	1	17-24	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Tommy McDermott	Tommy McDerm	8BL AVG: 0	0.00	1	17-24	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Steve Putnam	Steve Putnam	8BL AVG: 0	0.00	1	17-24	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Eric Hanson	Eric Hanson	8BL AVG: 0	0.00	1	25-32	21
8_Ball_Tournament_03-29-25	Mar 29/25	8 Ball	Double	Miguel Baez	Miguel Baez	8BL AVG: 0	0.00	1	25-32	21
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Noah Contreras	Noah Contrer	8BL AVG: 0	180.00	6	WINNER	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	John Eagle	John Eagle	8BL AVG: 0	100.00	5	2nd	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Michelle Cortez	Michelle Cor	8BL AVG: 0	80.00	4	3rd	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Joe Polt	Joe Polt	8BL AVG: 0	40.00	3	4th	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Sarath Chelika	Sarath C	8BL AVG: 0	0.00	2	5-6	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Jim Miller	Jim Miller	8BL AVG: 0	0.00	2	5-6	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Max Sun	Max Sun	8BL AVG: 0	0.00	1	7-8	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Bubba Staton	Bubba Staton	8BL AVG: 0	0.00	1	7-8	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Anastacio Tijerina	A Tigerina	8BL AVG: 0	0.00	1	9-12	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Dylan Dunford	Dylan Dunfor	8BL AVG: 0	0.00	1	9-12	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	David Sanders	David Sander	8BL AVG: 0	0.00	1	9-12	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Louis Salinas	Louis Salina	8BL AVG: 0	0.00	1	9-12	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Robert Walker	Robert W	8BL AVG: 0	0.00	1	13-16	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Crystal Jones	Crystal J	8BL AVG: 0	0.00	1	13-16	15
8_Ball_Tournament_11-30-24	Nov 30/24	8 Ball	Double	Eric Blackwell	Eric B	8BL AVG: 0	0.00	1	13-16	15
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Anastacio Tijerina	A Tigerina	8BL AVG: 0	175.00	6	WINNER	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Makenna Sanders	Makenna Sand	8BL AVG: 0	130.00	5	2nd	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Luke Choate	Luke Choate	8BL AVG: 0	85.00	4	3rd	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Ryan Machus	Ryan Machus	8BL AVG: 0	50.00	3	4th	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Freddy Lucero	Freddy Lucer	8BL AVG: 0	0.00	2	5-6	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Jessie Hohmann	Jessie Hohma	8BL AVG: 0	0.00	2	5-6	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Michael Engelmann	Michael Enge	8BL AVG: 0	0.00	1	7-8	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Brandon Kura	Brandon Kura	8BL AVG: 0	0.00	1	7-8	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Jerry Riley	Jerry Riley	8BL AVG: 0	0.00	1	9-12	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	William Honea	Will Honea	8BL AVG: 0	0.00	1	9-12	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Bernie Banawis	Bernie Bana	8BL AVG: 0	0.00	1	9-12	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Jeanguy Fournier	Jeanguy Four	8BL AVG: 0	0.00	1	9-12	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	John Chairez	John Chairez	8BL AVG: 0	0.00	1	13-16	17
Fargo_499_and_Under_06-07-25	Jun 07/25	9 Ball	Double	Dean Samnang	Dean Samnang	8BL AVG: 0	0.00	1	13-16	17
